observation_date,Percentage
2000-01-01,3.38
2001-01-01,2.83
2002-01-01,1.59
2003-01-01,2.27
2004-01-01,2.68
2005-01-01,3.39
2006-01-01,3.23
2007-01-01,2.85
2008-01-01,3.84
2009-01-01,-0.36
2010-01-01,1.64
2011-01-01,3.16
2012-01-01,2.07
2013-01-01,1.46
2014-01-01,1.62
2015-01-01,0.12
2016-01-01,1.26
2017-01-01,2.13
2018-01-01,2.44
2019-01-01,1.81
2020-01-01,1.23
2021-01-01,4.7
2022-01-01,8
2023-01-01,4.12
2024-01-01,2.95
